Index,Move,Eval_Value,Clock_time,Time,Killed,White,Black,Winner
0,0,0,0,0,0,0,0,0
1,e4,0.36,0:15:00,00:00:00,-,ConwyCastle,Braidwood,Braidwood
2,c5,0.32,0:15:00,00:00:00,-,ConwyCastle,Braidwood,Braidwood
3,Nf3,0.0,0:15:13,00:00:13,-,ConwyCastle,Braidwood,Braidwood
4,g6,0.64,0:15:14,00:00:14,-,ConwyCastle,Braidwood,Braidwood
5,Nc3,0.34,0:15:14,00:00:01,-,ConwyCastle,Braidwood,Braidwood
6,Bg7,0.32,0:15:27,00:00:13,-,ConwyCastle,Braidwood,Braidwood
7,h4,-0.39,0:15:26,00:00:12,-,ConwyCastle,Braidwood,Braidwood
8,h5,0.0,0:15:08,00:00:19,-,ConwyCastle,Braidwood,Braidwood
9,Bc4,-0.59,0:15:28,00:00:02,-,ConwyCastle,Braidwood,Braidwood
10,Nc6,-0.23,0:15:02,00:00:06,-,ConwyCastle,Braidwood,Braidwood
11,Ng5,-0.71,0:15:29,00:00:01,-,ConwyCastle,Braidwood,Braidwood
12,e6,-0.56,0:15:05,00:00:03,-,ConwyCastle,Braidwood,Braidwood
13,d3,-0.79,0:15:36,00:00:07,-,ConwyCastle,Braidwood,Braidwood
14,Nge7,0.0,0:14:49,00:00:16,-,ConwyCastle,Braidwood,Braidwood
15,Bf4,-0.65,0:15:12,00:00:24,-,ConwyCastle,Braidwood,Braidwood
16,d5,-0.67,0:14:18,00:00:31,-,ConwyCastle,Braidwood,Braidwood
17,exd5,-1.21,0:14:54,00:00:18,p,ConwyCastle,Braidwood,Braidwood
18,exd5,-1.3,0:14:27,00:00:09,P,ConwyCastle,Braidwood,Braidwood
19,Bb3,-1.15,0:13:22,00:01:32,-,ConwyCastle,Braidwood,Braidwood
20,O-O,-1.14,0:14:36,00:00:09,-,ConwyCastle,Braidwood,Braidwood
21,O-O,-1.27,0:13:13,00:00:09,-,ConwyCastle,Braidwood,Braidwood
22,Nd4,-1.24,0:12:09,00:02:27,-,ConwyCastle,Braidwood,Braidwood
23,Re1,-1.26,0:12:18,00:00:55,-,ConwyCastle,Braidwood,Braidwood
24,a6,0.47,0:06:56,00:05:13,-,ConwyCastle,Braidwood,Braidwood
25,Rxe7,0.15,0:10:33,00:01:45,n,ConwyCastle,Braidwood,Braidwood
26,Qxe7,0.57,0:04:24,00:02:32,R,ConwyCastle,Braidwood,Braidwood
27,Nxd5,0.78,0:10:32,00:00:01,p,ConwyCastle,Braidwood,Braidwood
28,Qe2,0.78,0:04:29,00:00:05,-,ConwyCastle,Braidwood,Braidwood
29,Nb6,0.29,0:08:28,00:02:04,-,ConwyCastle,Braidwood,Braidwood
30,Qxd1+,0.51,0:04:34,00:00:05,Q,ConwyCastle,Braidwood,Braidwood
31,Rxd1,0.58,0:08:39,00:00:11,q,ConwyCastle,Braidwood,Braidwood
32,Ne2+,0.49,0:04:48,00:00:14,-,ConwyCastle,Braidwood,Braidwood
33,Kf1,0.44,0:08:35,00:00:04,-,ConwyCastle,Braidwood,Braidwood
34,Nxf4,0.37,0:04:53,00:00:05,B,ConwyCastle,Braidwood,Braidwood
35,Nxa8,0.46,0:08:37,00:00:02,r,ConwyCastle,Braidwood,Braidwood
36,Bxb2,0.75,0:03:07,00:01:46,P,ConwyCastle,Braidwood,Braidwood
37,Re1,0.72,0:07:39,00:00:58,-,ConwyCastle,Braidwood,Braidwood
38,Bf6,0.65,0:01:16,00:01:51,-,ConwyCastle,Braidwood,Braidwood
39,Nc7,0.6,0:05:42,00:01:57,-,ConwyCastle,Braidwood,Braidwood
40,Bxg5,1.51,0:01:05,00:00:11,N,ConwyCastle,Braidwood,Braidwood
41,hxg5,1.34,0:05:57,00:00:15,b,ConwyCastle,Braidwood,Braidwood
42,Bd7,2.26,0:01:08,00:00:03,-,ConwyCastle,Braidwood,Braidwood
43,Nd5,1.5,0:04:43,00:01:14,-,ConwyCastle,Braidwood,Braidwood
44,Nxd5,1.43,0:01:10,00:00:02,N,ConwyCastle,Braidwood,Braidwood
45,Bxd5,1.39,0:04:58,00:00:15,n,ConwyCastle,Braidwood,Braidwood
46,b5,1.61,0:01:18,00:00:08,-,ConwyCastle,Braidwood,Braidwood
47,Re7,1.62,0:05:10,00:00:12,-,ConwyCastle,Braidwood,Braidwood
48,Bf5,1.81,0:01:19,00:00:01,-,ConwyCastle,Braidwood,Braidwood
49,Ra7,1.01,0:04:18,00:00:52,-,ConwyCastle,Braidwood,Braidwood
50,c4,0.9,0:01:26,00:00:07,-,ConwyCastle,Braidwood,Braidwood
51,dxc4,1.01,0:04:09,00:00:09,p,ConwyCastle,Braidwood,Braidwood
52,Bxc2,2.53,0:01:38,00:00:12,P,ConwyCastle,Braidwood,Braidwood
53,c5,2.51,0:04:05,00:00:04,-,ConwyCastle,Braidwood,Braidwood
54,Rc8,3.13,0:01:07,00:00:31,-,ConwyCastle,Braidwood,Braidwood
55,c6,3.48,0:03:54,00:00:11,-,ConwyCastle,Braidwood,Braidwood
56,Bd3+,3.13,0:01:17,00:00:10,-,ConwyCastle,Braidwood,Braidwood
57,Ke1,3.36,0:03:54,00:00:00,-,ConwyCastle,Braidwood,Braidwood
58,Bc4,3.57,0:01:30,00:00:13,-,ConwyCastle,Braidwood,Braidwood
59,Bf3,0.39,0:02:11,00:01:43,-,ConwyCastle,Braidwood,Braidwood
60,b4,0.41,0:01:39,00:00:09,-,ConwyCastle,Braidwood,Braidwood
61,c7,0.25,0:02:23,00:00:12,-,ConwyCastle,Braidwood,Braidwood
62,Bxa2,0.54,0:01:36,00:00:03,P,ConwyCastle,Braidwood,Braidwood
63,Rxa6,0.77,0:02:10,00:00:13,p,ConwyCastle,Braidwood,Braidwood
